0,Adam Wainwright,positive
1,Chad Bettis,positive
2,Dan Jennings,positive
3,Zack Greinke,positive
4,Robbie Ray,positive
5,Phil Hughes,positive
6,Joe Blanton,negative
7,Matt Moore,positive
8,Drew Pomeranz,positive
9,Chris Young,positive
10,Jeremy Hellickson,positive
11,Cody Anderson,positive
12,Doug Fister,positive
13,Clayton Kershaw,positive
14,Sean Manaea,negative
15,Nate Jones,positive
16,Ivan Nova,positive
17,Dan Straily,positive
18,Aaron Blair,positive
19,Patrick Corbin,positive
20,Jeff Samardzija,positive
21,Nick Tropeano,positive
22,Vance Worley,negative
23,Steve Cishek,positive
24,Wily Peralta,positive
25,Eric Surkamp,negative
26,Bartolo Colon,positive
27,Matt Cain,positive
28,Jon Lester,positive
29,Dallas Keuchel,positive
30,Jon Gray,positive
31,Kendall Graveman,positive
32,Ricky Nolasco,negative
33,Michael Fulmer,positive
34,Cory Gearrin,negative
35,James Shields,negative
36,Kyle Hendricks,positive
37,Stephen Strasburg,positive
38,Andrew Miller,positive
39,Will Harris,positive
40,Jorge De La Rosa,positive
41,Jerad Eickhoff,positive
42,Aaron Sanchez,negative
43,Jason Hammel,positive
44,Michael Pineda,positive
45,Josh Tomlin,positive
46,Kyle Gibson,positive
47,Jimmy Nelson,positive
48,Christian Friedrich,negative
49,Brandon Finnegan,positive
50,Derek Holland,positive
51,Luis Perdomo,negative
52,Zach Britton,positive
53,Kenta Maeda,positive
54,Justin Nicolino,positive
55,Ervin Santana,positive
56,Wade Miley,negative
57,Alex Wood,positive
58,Albert Suarez,positive
59,Jake Peavy,positive
60,Randall Delgado,positive
61,Danny Salazar,positive
62,Tyler Duffey,negative
63,Marco Estrada,negative
64,Steven Matz,negative
65,Madison Bumgarner,positive
66,Rubby De La Rosa,positive
67,Juan Nicasio,positive
68,Wei-Yin Chen,positive
69,Joe Ross,positive
70,Tony Cingrani,positive
71,CC Sabathia,negative
72,Archie Bradley,negative
73,Edinson Volquez,negative
74,Scott Feldman,negative
75,Matt Harvey,positive
76,Kelvin Herrera,negative
77,R.A. Dickey,positive
78,Williams Perez,positive
79,Dillon Gee,positive
80,Matt Shoemaker,positive
81,Francisco Liriano,negative
82,Chris Tillman,positive
83,Gerrit Cole,positive
84,David Phelps,positive
85,Hansel Robles,negative
86,Jake Arrieta,positive
87,Jesse Hahn,positive
88,Nathan Eovaldi,positive
89,Jeanmar Gomez,positive
90,AJ Schugel,positive
91,Ross Ohlendorf,positive
92,Jeff Locke,positive
93,Brad Brach,positive
94,Pedro Baez,negative
95,Mike Fiers,positive
96,Carlos Rodon,positive
97,Jose Fernandez,positive
98,Carlos Carrasco,positive
99,Mike Leake,positive
100,Carlos Martinez,positive
101,Michael Tonkin,positive
102,Tyler Wilson,positive
103,David Hernandez,positive
104,Jose Quintana,positive
105,John Lamb,positive
106,Colin Rea,positive
107,Matt Wisler,positive
108,Shelby Miller,positive
109,Jose Alvarez,positive
110,Drew Smyly,negative
111,Yusmeiro Petit,positive
112,Cole Hamels,positive
113,Luis Severino,positive
114,Jered Weaver,positive
115,Tyler Chatwood,negative
116,Carlos Torres,positive
117,Jeremy Jeffress,positive
118,Steven Wright,positive
119,Justin Verlander,positive
120,Miguel Gonzalez,positive
121,Chris Archer,positive
122,Adam Morgan,positive
123,Adam Conley,positive
124,Chris Sale,positive
125,Brett Oberholtzer,positive
126,Matt Andriese,positive
127,Corey Kluber,negative
128,Lance McCullers,positive
129,Logan Verrett,positive
130,Hector Santiago,positive
131,Brad Hand,positive
132,Blake Wood,positive
133,Danny Duffy,positive
134,Dellin Betances,positive
135,Ryan Buchter,positive
136,Alfredo Simon,positive
137,Michael Morin,negative
138,J.A. Happ,positive
139,A.J. Griffin,positive
140,Rich Hill,positive
141,Blaine Boyer,positive
142,Mat Latos,positive
143,Fernando Salas,negative
144,Ubaldo Jimenez,positive
145,Jake Odorizzi,positive
146,Jaime Garcia,positive
147,Cesar Ramos,positive
148,Gio Gonzalez,positive
149,Mike Wright,positive
150,Garrett Richards,positive
151,Nick Vincent,positive
152,Ian Kennedy,negative
153,Noah Syndergaard,positive
154,Jeurys Familia,positive
155,Junior Guerra,negative
156,Julio Teheran,positive
157,Johnny Cueto,positive
158,Marcus Stroman,positive
159,Collin McHugh,positive
160,Alex Wilson,positive
161,Seung Hwan Oh,positive
162,Tanner Roark,positive
163,Cesar Vargas,positive
164,Brad Ziegler,positive
165,Kevin Gausman,positive
166,Ross Stripling,positive
167,Hisashi Iwakuma,negative
168,Chris Devenski,positive
169,Anibal Sanchez,positive
170,Addison Reed,positive
171,Brandon Maurer,positive
172,Zach Davies,negative
173,Felix Hernandez,positive
174,Jordan Zimmermann,negative
175,Chase Anderson,positive
176,Andrew Cashner,positive
177,John Lackey,negative
178,Mike Montgomery,positive
179,Taijuan Walker,positive
180,Ryan Pressly,positive
181,Joakim Soria,positive
182,Colby Lewis,positive
183,Nate Karns,positive
184,Mychal Givens,positive
185,Max Scherzer,positive
186,Matt Barnes,positive
187,Roberto Osuna,positive
188,Hector Neris,negative
189,Vince Velasquez,positive
190,Ryan Dull,negative
191,Jhoulys Chacin,negative
192,Pat Dean,positive
193,Sonny Gray,positive
194,Mike Pelfrey,positive
195,Clay Buchholz,positive
196,Sam Dyson,negative
197,Jon Niese,positive
198,Justin Miller,positive
199,Martin Perez,positive
200,Masahiro Tanaka,positive
201,David Price,negative
202,Tyler Lyons,positive
203,Eddie Butler,positive
204,Jacob deGrom,positive
205,Chris Rusin,positive
206,Mike Foltynewicz,positive
207,Rick Porcello,positive
208,Trevor Bauer,positive
209,Michael Feliz,positive
210,Bud Norris,positive
211,Carlos Villanueva,positive
212,Fernando Rodriguez,neutral
213,Erasmo Ramirez,positive
214,Michael Wacha,positive
215,Tom Koehler,positive
216,Aaron Nola,negative
217,Yordano Ventura,positive
218,Scott Kazmir,positive
